text,label
You are an idiot.,1
I hate you.,1
Shut up!,1
You're such a loser.,1
Get lost.,1
No one likes you.,1
You're a piece of garbage.,1
I can't stand you.,1
You disgust me.,1
You're dumb.,1
I hope you fail.,1
You’re annoying.,1
You're pathetic.,1
Go die.,1
Nobody cares about you.,1
What a horrible person.,1
You're the worst.,1
I wish you'd disappear.,1
Your opinion is trash.,1
You are garbage.,1
Thanks for your help!,0
I appreciate your time.,0
Have a great day!,0
You're very kind.,0
I love your work.,0
You did a great job.,0
That was really helpful.,0
Thank you!,0
You're amazing!,0
Nice to meet you.,0
Well done.,0
You’re very thoughtful.,0
You're so helpful.,0
I value your opinion.,0
I like the way you think.,0
This is a great idea.,0
I hope you have a nice day.,0
You're doing great.,0
That's very smart.,0
You're a great person.,0
Get out of my face.,1
You're so dumb.,1
Don't talk to me.,1
You're nothing.,1
Why are you even here?,1
You're such a moron.,1
This is your fault.,1
You're awful.,1
You suck.,1
You ruin everything.,1
You are great at what you do.,0
I respect your opinion.,0
You're always so helpful.,0
This is really insightful.,0
Thanks a lot!,0
Very well explained.,0
You handled that nicely.,0
You did it perfectly.,0
Great contribution.,0
Excellent response.,0
Go to hell.,1
Nobody wants you here.,1
You're a mistake.,1
This is stupid.,1
You're an embarrassment.,1
You always mess things up.,1
How dumb can you be?,1
You're trash.,1
I despise you.,1
You're unbearable.,1
Thank you for being so kind.,0
This is so helpful!,0
I’m glad you shared that.,0
That made my day.,0
You're such a blessing.,0
You light up the room.,0
You’re thoughtful.,0
Your insight is valuable.,0
I enjoyed this conversation.,0
You're awesome!,0
You're incompetent.,1
Don't ever speak again.,1
You ruin everything.,1
What a waste.,1
You're not worth it.,1
This makes no sense.,1
You’re a failure.,1
You're completely useless.,1
You should be ashamed.,1
You're horrible.,1
I love your enthusiasm.,0
That's a brilliant idea.,0
You're so smart.,0
Very well done!,0
You’re an inspiration.,0
You have great insight.,0
I like your thinking.,0
You're really clever.,0
This was amazing.,0
You're super talented.,0
